S1/CSEA,1,2,3,4,5,6,7,8,9,10
,8:20-9:10 ,9:10-10:00,10:00-10:50,11:00-11:50     ,11:50-12:40      ,12:40-1:30     ,1:30-2:20,2:30-3:20,3:20-4:10,4:10-5:00
Monday,M1,23MAT107 (3 N101),F11,23CSE102 (9 N101),23ENG101 (1 N101),N1,23CSE101 (5 S301),23CSE101 (5 S301),22AVP103 (13 S301),22AVP103 (13 S301)
Tuesday,23EEE104 (7 N101),23CSE101 (5 N101),23MAT107 (3 N101) ,F12,22ADM101 (11 N101),N2,DL11,DL12,BL13,BL14
Wednesday,D14,23EEE104 (7 N101), 23CSE101 (5 N101),23MAT107 (3 N101),F13,N3,EL11,EL12,23ENG101 (1 S103),23ENG101 (1 S103)
Thursday,E14,23ENG101 (1 N101),23EEE104 (7 N101),23CSE101 (5 N101),A14,N4,AL13,AL14,23CSE102 (9 S103),23CSE102 (9 S103)
Friday,M2   ,22ADM101 (11 N101),D12,22AVP103 (13 N101),B14,N5,23MAT107 (3 S301)  ,23MAT107 (3 S301)  ,FL11,FL12
,,,,,,,,,,
S1/CSEB,1,2,3,4,5,6,7,8,9,10
,8:20-9:10,9:10-10:00,10:00-10:50,11:00-11:50     ,11:50-12:40      ,12:40-1:30     ,1:30-2:20,2:30-3:20,3:20-4:10,4:10-5:00
Monday,M1,23CSE101 (5 S301),23CSE101 (5 S301),22AVP103 (13 S301),22AVP103 (13 S301),M3,23MAT107 (3 N101),F11,23CSE102 (9 N101),23ENG101 (1 N101)
Tuesday,M2,DL11,DL12,BL13,BL14,23EEE104 (7 N101),23CSE101 (5 N101),23MAT107 (3 N101) ,F12,22ADM101 (11 N101)
Wednesday,M3,EL11,EL12,23ENG101 (1 S103),23ENG101 (1 S103),D14,23EEE104 (7 N101), 23CSE101 (5 N101) ,23MAT107 (3 N101),F13
Thursday,M4,AL13,AL14,23CSE102 (9 S103),23CSE102 (9 S103),E14,23ENG101 (1 N101),23EEE104 (7 N101),23CSE101 (5 N101),A14
Friday,M5,23MAT107 (3 S301)  ,23MAT107 (3 S301)  ,FL11,FL12,M4,22ADM101 (11 N101),D12,22AVP103 (13 N101),B14
,,,,,,,,,,
S1/CSEC,1,2,3,4,5,6,7,8,9,10
,8:20-9:10,9:10-10:00,10:00-10:50,11:00-11:50     ,11:50-12:40      ,12:40-1:30     ,1:30-2:20,2:30-3:20,3:20-4:10,4:10-5:00
Monday,M1,23MAT107 (3 N102),F11,23CSE102 (9 N102),23ENG101 (1 N102),N1,BL11,BL12,CL11,CL12
Tuesday,23EEE104 (7 N102),23CSE101 (5 N102),23MAT107 (3 N102) ,F12,22ADM101 (11 N102),N2,23ENG101 (2 S301),23ENG101 (2 S301),23CSE101 (6 S301),23CSE101 (6 S301)
Wednesday,D14,23EEE104 (7 N102), 23CSE101 (5 N102) ,23MAT107 (3 N102),F13,N3,23CSE102 (10 S301),23CSE102 (10 S301),DL13,DL14
Thursday,E14,23ENG101 (1 N102),23EEE104 (7 N102),23CSE101 (5 N102),A14,N4,22AVP103 (14 S302),22AVP103 (14 S302),EL13,EL14
Friday,M2   ,22ADM101 (11 N102),D12,22AVP103 (13 N102),B14,N5,AL11,AL12,23MAT107 (4 S301),23MAT107 (4 S301)
,,,,,,,,,,
S1/CSED,1,2,3,4,5,6,7,8,9,10
,8:20-9:10,9:10-10:00,10:00-10:50,11:00-11:50     ,11:50-12:40      ,12:40-1:30     ,1:30-2:20,2:30-3:20,3:20-4:10,4:10-5:00
Monday,M1,BL11,BL12,CL11,CL12,M1,23MAT107 (3 N102),F11,23CSE102 (9 N102),23ENG101 (1 N102)
Tuesday,M2,23ENG101 (2 S301),23ENG101 (2 S301),23CSE101 (6 S301),23CSE101 (6 S301),23EEE104 (7 N102),23CSE101 (5 N102),23MAT107 (3 N102) ,F12,22ADM101 (11 N102)
Wednesday,M3,23CSE102 (10 S301),23CSE102 (10 S301),DL13,DL14,D14,23EEE104 (7 N102), 23CSE101 (5 N102) ,23MAT107 (3 N102),F13
Thursday,M4,22AVP103 (14 S302),22AVP103 (14 S302),EL13,EL14,E14,23ENG101 (1 N102),23EEE104 (7 N102),23CSE101 (5 N102),A14
Friday,M5,AL11,AL12,23MAT107 (4 S301),23MAT107 (4 S301),M2   ,22ADM101 (11 N102),D12,22AVP103 (13 N102),B14
